#Cu  metal  fcc a=3.603                                  Feff  6.01a  potph 4.12
#Abs   Z=29 Rmt= 1.289 Rnm= 1.424 K shell
#Pot 1 Z=29 Rmt= 1.272 Rnm= 1.392
#Gam_ch=1.761E+00 H-L exch
#Mu=-5.535E+00 kf=1.806E+00 Vint=-1.796E+01 Rs_int= 2.008
#Path    1      icalc       2                            Feff  6.01a genfmt 1.44
#-------------------------------------------------------------------------------
#  2  12.000   2.5478    2.6300   -5.53502 nleg, deg, reff, rnrmav(bohr), edge
#       x         y         z   pot at#
#     .0000     .0000     .0000  0  29 Cu       absorbing atom
#     .0000   -1.8016    1.8016  1  29 Cu    
#   k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  2.600  3.1585E+00  2.0024E-01 -1.2187E+01   .1303E+01  6.1535E+00  3.2191E+00
  2.800  3.1545E+00  1.6820E-01 -1.2400E+01   .1326E+01  5.6163E+00  3.3579E+00
  3.000  3.1151E+00  1.3806E-01 -1.2407E+01   .1321E+01  5.3982E+00  3.5040E+00
  3.200  3.0550E+00  1.2236E-01 -1.2189E+01   .1304E+01  5.3389E+00  3.6566E+00
  3.400  2.9887E+00  1.4499E-01 -1.1933E+01   .1281E+01  5.3735E+00  3.8150E+00
  3.600  2.9054E+00  1.9428E-01 -1.1822E+01   .1256E+01  5.4705E+00  3.9784E+00
  3.800  2.8228E+00  2.5740E-01 -1.1838E+01   .1229E+01  5.6121E+00  4.1461E+00
  4.000  2.7282E+00  3.2303E-01 -1.1902E+01   .1206E+01  5.7879E+00  4.3177E+00
  4.200  2.6390E+00  3.8574E-01 -1.1985E+01   .1179E+01  5.9908E+00  4.4926E+00
  4.400  2.5352E+00  4.4624E-01 -1.2073E+01   .1157E+01  6.2162E+00  4.6704E+00
  4.600  2.4376E+00  5.0095E-01 -1.2161E+01   .1135E+01  6.4607E+00  4.8506E+00
  4.800  2.3422E+00  5.5041E-01 -1.2241E+01   .1115E+01  6.7219E+00  5.0329E+00
  5.000  2.2460E+00  5.9187E-01 -1.2322E+01   .1096E+01  6.9979E+00  5.2171E+00
  5.200  2.1454E+00  6.3037E-01 -1.2396E+01   .1079E+01  7.2872E+00  5.4030E+00
  5.400  2.0492E+00  6.6384E-01 -1.2463E+01   .1064E+01  7.5888E+00  5.5902E+00
  5.600  1.9507E+00  6.9100E-01 -1.2531E+01   .1050E+01  7.9017E+00  5.7787E+00
  5.800  1.8576E+00  7.1670E-01 -1.2591E+01   .1038E+01  8.2251E+00  5.9682E+00
  6.000  1.7615E+00  7.3666E-01 -1.2649E+01   .1027E+01  8.5584E+00  6.1587E+00
  6.500  1.5272E+00  7.6642E-01 -1.2784E+01   .1004E+01  9.4317E+00  6.6385E+00
  7.000  1.2998E+00  7.6974E-01 -1.2906E+01   .9857E+00  1.0357E+01  7.1222E+00
  7.500  1.0824E+00  7.5036E-01 -1.3022E+01   .9708E+00  1.1331E+01  7.6088E+00
  8.000  8.7723E-01  7.1645E-01 -1.3130E+01   .9579E+00  1.2348E+01  8.0978E+00
  8.500  6.8313E-01  6.7486E-01 -1.3230E+01   .9470E+00  1.3407E+01  8.5885E+00
  9.000  4.9774E-01  6.2811E-01 -1.3331E+01   .9381E+00  1.4505E+01  9.0807E+00
  9.500  3.2222E-01  5.7859E-01 -1.3435E+01   .9304E+00  1.5641E+01  9.5740E+00
 10.000  1.4825E-01  5.2908E-01 -1.3544E+01   .9222E+00  1.6812E+01  1.0068E+01
 11.000 -1.7917E-01  4.3980E-01 -1.3760E+01   .9056E+00  1.9258E+01  1.1059E+01
 12.000 -4.8337E-01  3.6492E-01 -1.3977E+01   .8938E+00  2.1832E+01  1.2051E+01
 13.000 -7.6646E-01  3.0439E-01 -1.4200E+01   .8879E+00  2.4527E+01  1.3045E+01
 14.000 -1.0250E+00  2.5553E-01 -1.4407E+01   .8831E+00  2.7338E+01  1.4041E+01
 15.000 -1.2653E+00  2.1646E-01 -1.4623E+01   .8801E+00  3.0257E+01  1.5037E+01
 16.000 -1.4894E+00  1.8503E-01 -1.4821E+01   .8793E+00  3.3281E+01  1.6034E+01
 17.000 -1.6950E+00  1.5883E-01 -1.5018E+01   .8776E+00  3.6404E+01  1.7031E+01
 18.000 -1.8893E+00  1.3866E-01 -1.5217E+01   .8772E+00  3.9623E+01  1.8028E+01
 19.000 -2.0688E+00  1.1937E-01 -1.5388E+01   .8769E+00  4.2933E+01  1.9026E+01
 20.000 -2.2337E+00  1.0466E-01 -1.5591E+01   .8754E+00  4.6332E+01  2.0025E+01
